,id,true_url,false_caption,true_caption,false_url,query,article_url
0,0,https://mediaproxy.snopes.com/width/1200/https://media.snopes.com/2025/07/obama_bourdain.jpg,A photograph shows former U.S. President Barack Obama drinking beer in Southeast Asia with convicted sex offender Jeffery Epstein.,A photograph shows former U.S. President Barack Obama drinking beer in Southeast Asia with television host and chef Anthony Bourdain.,,,https://www.snopes.com/fact-check/photo-epstein-obama-beer/
1,1,https://media.gettyimages.com/id/2078474569/photo/donald-trump-ingrid-seynhaeve-and-jeffrey-epstein.jpg?s=1024x1024&w=gi&k=20&c=m-9fNnRkmT_z4xtCX4pdmsB0BVVL65Tqnl16y1pxnjc=,"A photo depicts U.S. President Donald Trump, Attorney General Pam Bondi and the now-deceased sex offender Jeffrey Epstein.","A photo depicts U.S. President Donald Trump, Belgian model Ingrid Seynhaeve and the now-deceased sex offender Jeffrey Epstein.",,,https://www.snopes.com/fact-check/trump-epstein-photo-bondi/
2,2,https://ca-times.brightspotcdn.com/dims4/default/30bf94f/2147483647/strip/true/crop/524x510+0+0/resize/1200x1168!/quality/75/?url=https%3A%2F%2Fcalifornia-times-brightspot.s3.amazonaws.com%2F2d%2F33%2F392a4fbcaf03594b1887fe53b5f0%2Flat-greytak-dr23xugy20100303214327,Photograph shows Pope John Paul II playing baseball.,"Photograph shows Gene Greytak playing baseball while impersonating Pope John Paul II, in 1996.",,,https://www.snopes.com/fact-check/pope-john-paul-ii-playing-baseball/
3,3,https://i.ytimg.com/vi/e5tlgw57FNM/maxresdefault.jpg,"An image shows the White House lit by red lights on July 2, 2025, indicating an emergency.","An image shows the White House lit by orange lights on July 2, 2025, in honor of National Gun Violence Awareness Day.",,,https://www.snopes.com/fact-check/white-house-turned-red/
4,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRziolHg7e9R4_RhsJ4NezesquABnRxGTte_w&s,"An image shows a coffee shop in Portland, Oregon, that shelters stray dogs overnight.","An image shows a coffee shop in Mytilene, Greece, that sheltered stray dogs overnight.",,,https://www.snopes.com/fact-check/coffee-shop-cozy-bean-portland-oregon-dogs/
5,5,https://static.independent.co.uk/2023/02/09/17/11082355_10152719036461198_7393289887901148492_o.jpg,"In June 2025, the U.S. Federal Emergency Management Agency (FEMA) released a map of potential nuclear targets in the U.S.","In 2002, the nonprofit organization Natural Resources Defense Council (NRDC) created a map illustrating potential nuclear targets in the U.S., examining hypothetical nuclear attacks from Russia.",,,https://www.snopes.com/fact-check/fema-map-nuclear-targets/
6,6,https://i.pinimg.com/736x/f3/5e/b3/f35eb3970da2a2f25b0849809a403cb5.jpg,Images depict the Golden Gate Bridge in San Francisco during the 2025 'No Kings' march.,"Images depict the Golden Gate Bridge in San Francisco during it's 50th Anniversary, in 1987.",,,https://www.snopes.com/fact-check/images-protest-no-kings-golden-gate-bridge/
7,7,https://scontent-mxp2-1.xx.fbcdn.net/v/t39.30808-6/506532643_1252163699815502_3721371757951055448_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=833d8c&_nc_ohc=EdWPF0UxL50Q7kNvwHLBU__&_nc_oc=AdmEQ7fIs1JTPfx3FuOruM2cUjqcL8Ysd5JDyQzGKZG4wPBqdbEmZq4AXxOOpNHXqH0&_nc_zt=23&_nc_ht=scontent-mxp2-1.xx&_nc_gid=_94g5kzY6q4bXjm9wsjyUA&oh=00_AfSxTHudsHb5tXA1nweFdYeZjV1HzwDMY3_SByYG_Zkq8A&oe=688FC6E6,"A photograph shows California Gov. Gavin Newsom’s wife, Jennifer Siebel Newsom, shopping in Beverly Hills amidst ongoing, anti-ICE riots in Los Angeles in June 2025.","A photograph shows California Gov. Gavin Newsom’s wife, Jennifer Siebel Newsom, shopping in Beverly Hills in January 2025.",,,https://www.snopes.com/fact-check/gavin-newsoms-wife-shopping-los-angeles-riots/
8,8,https://e3.365dm.com/20/05/800x600/7773e16f2218c2d4f6e7bf359ebc3c66aa16e3d6e4a285f6b1f71bc5051066f8_5002629.jpg,An image shows burning police cars during protests in Los Angeles over immigration enforcement actions in June 2025.,An image shows burning police cars during protests in Los Angeles following the death of George Floyd in May 2020.,,,https://www.snopes.com/fact-check/la-protests-burning-police-cars/
9,9,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%2Fid%2FOIP.EZvGvupwv8n9mL2MEzXR-gHaIl%3Fpid%3DApi&f=1&ipt=ad10505191c29247dbb51e1771c5e10b059b36846222a141f5012174f57dbffd,"A photograph depicts the collapse of a movie theater’s roof during a screening of 'Final Destination: Bloodlines' in Argentina, in May 2025.","A photograph depicts the collapse of a movie theater’s roof during a screening of 'Captain America: Brave New World' in Wenatchee, Washington, in February 2025..",,,https://www.snopes.com/fact-check/photo-theater-roof-final-destination/
10,10,https://www.mdpi.com/sustainability/sustainability-17-04298/article_deploy/html/images/sustainability-17-04298-g0A1-550.jpg,A photograph shows the 'Great Pacific Garbage Patch' that grew to be twice the size of Texas.,"A photograph shows the patch of garbage off the coast of Honduras in the Caribbean Sea, captured in 2017.",,,
11,11,https://www.telegraph.co.uk/multimedia/archive/00683/bear2-404_683250c.jpg?imwidth=680,"Photograph shows Ivan Stepanov, a Russian tourist, saving a drowning bear beneath the Tallac Bridge in South Lake Tahoe.",Photograph shows biologist Adam Warwick saving a drowning bear in Florida in 2008.,,,https://www.snopes.com/fact-check/ivan-stepanov-drowning-bear-rescue/
12,12,https://mediaproxy.snopes.com/width/1200/https://media.snopes.com/2025/02/cassini_final_moments_saturn.png,An image shows Saturn photographed from NASA's Cassini spacecraft during its final mission in 2017.,An image shows an artistic representation of NASA's Cassini spacecraft during its final mission in 2017.,,,https://www.snopes.com/fact-check/saturn-cassini-final-photo/
13,13,https://pbs.twimg.com/media/F5nu11vXwAAxE6v.jpg:large,A photo shows a man displaying two middle fingers to U.S. President Donald Trump at the 2025 Super Bowl.,"A photo shows a man displaying two middle fingers to former U.S. President Donald Trump at the Iowa State college football game on Sept. 9, 2023.",,,https://www.snopes.com/fact-check/super-bowl-trump-middle-fingers/
14,14,https://images.caxton.co.za/wp-content/uploads/sites/44/2025/01/Fires_55378_tn.jpg,Image shows South African firefighters heading to Los Angeles to help fight the January 2025 wildfires.,"Image shows South African firefighters heading to Ottawa, Canada to help fight the June 2023 wildfires.",,,https://www.snopes.com/fact-check/south-african-firefighters-canada/
15,15,https://pbs.twimg.com/media/Gg80o8qWwAApafU?format=jpg,Image shows a Black person looting bagged items during the January 2025 Los Angeles County wildfires.,Image shows a Black person salvaging items from a friend’s partially burned home during the January 2025 Los Angeles County wildfires.,,,https://www.snopes.com/fact-check/black-people-looting-la-wildfires/
16,16,https://mediaproxy.snopes.com/width/1200/https://media.snopes.com/2025/01/bags.png,Image shows firefighters in Los Angeles in January 2025 using women’s handbags to fight wildfires.,Image shows firefighters in Los Angeles in January 2025 using collapsible buckets to fight wildfires.,,,https://www.snopes.com/fact-check/la-firefighters-handbags-wildfires/
17,17,https://pbs.twimg.com/media/GgE2bGNXoAAN_es.jpg,Image shows a new species of swimming lizard that was discovered in Lake Superior.,Image shows a marine iguana native to the Galápagos Islands.,,,https://www.snopes.com/fact-check/new-swimming-lizard-lake-superior/
18,18,https://pbs.twimg.com/media/GcSJY1fXcAA_ztM.jpg,Photograph shows Pete Hegseth wearing only underwear and carrying an American flag while standing at the Sept. 11 Memorial in New York City in 2020.,Photograph shows Pete Hegseth wearing only swim trunks after participating in a fundraiser on the Hudson River to swim from New Jersey to New York City in 2020.,,,https://www.snopes.com/fact-check/pete-hegseth-wore-underwear-at-911-memorial/
19,19,https://www.israelhayom.com/wp-content/uploads/2024/12/WhatsApp-Image-2024-12-03-at-17.15.22-600x400-3.png,A photograph shows a military convoy after martial law was declared in South Korea in early December 2024.,"A photograph shows a military training exercise in South Korea on January 25, 2024. ",,,https://www.snopes.com/fact-check/martial-law-south-korea-photo/
20,20,https://pbs.twimg.com/amplify_video_thumb/1583036774276005888/img/CyqlSMrKgpwnich4.jpg,"Image shows a mosque fire in Piera, Catalonia in July 2025.","Image shows a mosque fire in Jakarta, Indonesia in October 2022.",,,https://www.reuters.com/fact-check/video-shows-mosque-fire-jakarta-not-catalonia-2025-07-17/
21,21,https://th-i.thgim.com/public/incoming/zdkn3r/article69708452.ece/alternates/LANDSCAPE_1200/image%2082.jpg,"Satellite image shows the vast scale of destruction at the Isreali military tech backbone, the Weizmann Institute, in Tel Aviv.",Satellite image shows buildings near the Tabriz missile base in Iran that were destroyed by Israeli strikes.,,,https://www.reuters.com/fact-check/satellite-image-shows-destruction-iran-not-israeli-research-facility-2025-07-10/
22,22,https://static.tiempo.com.mx/uploads/imagen/imagen/684218/principal_d.jpg,"Photo shows the Malibu beach house used as a filming location for the 'Hannah Montana' television series, which was destroyed in the 2025 Los Angeles fires.",Photo shows a house destroyed by fire in North Carolina in 2007.,,,https://www.reuters.com/fact-check/photo-shows-north-carolina-house-burned-not-tv-show-location-la-2025-02-04/
23,23,https://focus.sundayworld.com/thumbor/bGAJ3oR6lKBmTCsN4_ckJm6n-rU=/0x62:564x485/960x720/prod-mh-ireland/6c40530e-ec26-4883-9311-25960b4cdb10/a08a7314-4734-469d-8e29-a34dc15541e0/6c40530e-ec26-4883-9311-25960b4cdb10.jpg,Photo shows a crowd outside Donald Trump’s rally at Madison Square Garden in October 2024.,Photo shows a crowd during former President Barack Obama’s visit to Dublin in 2011.,,,https://www.reuters.com/fact-check/decade-old-photo-miscaptioned-trumps-madison-square-garden-rally-crowd-2024-10-30/
24,24,https://www.aeroflap.com.br/wp-content/uploads/2024/01/photo_2024-01-16_20-33-36.jpg,Image of a firefighting plane crashing during the Los Angeles wildfires in January 2025.,Image of a firefighting plane crash in Chile in January 2024.,,,
